SPREFID,USUBJID,CLLOC,STUDY_WEEK,CLORRES,CLRESCAT,CLSTAT,CLREASND,CLCAT,CLSEV,CLRFTDTC,CLTPTNUM,CLDY,SEX,trial_set_description
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-30 07:04:00.000,1,15,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-30 09:32:00.000,2,15,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-01 08:36:00.000,1,16,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-01 10:39:00.000,2,16,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-02 09:32:00.000,1,17,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-05-02 11:30:00.000,2,17,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Open Field Observation,,2019-05-02 09:32:00.000,3,17,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-29 06:49:00.000,1,14,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-29 08:34:00.000,2,14,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-27 07:04:00.000,1,12,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-27 09:09:00.000,2,12,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-26 07:32:00.000,1,11,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-26 10:04:00.000,2,11,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-28 07:07:00.000,1,13,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-28 09:37:00.000,2,13,F,CG
T104349-1,T104349-1-0083,,,NORMAL,CLINICAL SIGNS,,,Detailed Clinical Observation,,2019-04-24 07:10:00.000,1,9,F,CG
