SPREFID,USUBJID,SEX,FWTESTCD,FWTEST,FWORRES,FWORRESU,FWDY,FWENDY,FWSTAT,FWREASND,trial_set_description
T105017-4,T105017-4-0002,M,WC,Water Consumption,28,g/day,1,8,Y,,CG
T105017-4,T105017-4-0001,M,WC,Water Consumption,28,g/day,1,8,Y,,CG
T105017-4,T105017-4-0002,M,WC,Water Consumption,30,g/day,8,15,Y,,CG
T105017-4,T105017-4-0001,M,WC,Water Consumption,30,g/day,8,15,Y,,CG
T105017-4,T105017-4-0002,M,WC,Water Consumption,28,g/day,15,22,Y,,CG
T105017-4,T105017-4-0001,M,WC,Water Consumption,28,g/day,15,22,Y,,CG
T105017-4,T105017-4-0002,M,WC,Water Consumption,33,g/day,22,29,Y,,CG
T105017-4,T105017-4-0001,M,WC,Water Consumption,33,g/day,22,29,Y,,CG
T105017-4,T105017-4-0002,M,FC,Food Consumption,21,g/day,1,8,Y,,CG
T105017-4,T105017-4-0001,M,FC,Food Consumption,21,g/day,1,8,Y,,CG
T105017-4,T105017-4-0002,M,FC,Food Consumption,22,g/day,8,15,Y,,CG
T105017-4,T105017-4-0001,M,FC,Food Consumption,22,g/day,8,15,Y,,CG
T105017-4,T105017-4-0002,M,FC,Food Consumption,21,g/day,15,22,Y,,CG
T105017-4,T105017-4-0001,M,FC,Food Consumption,21,g/day,15,22,Y,,CG
T105017-4,T105017-4-0002,M,FC,Food Consumption,23,g/day,22,29,Y,,CG
T105017-4,T105017-4-0001,M,FC,Food Consumption,23,g/day,22,29,Y,,CG
T104404-3,T104404-3-0003,M,WC,Water Consumption,27,g/day,1,8,Y,,CG
T104404-3,T104404-3-0004,M,WC,Water Consumption,27,g/day,1,8,Y,,CG
T104404-3,T104404-3-0003,M,WC,Water Consumption,29,g/day,8,15,Y,,CG
T104404-3,T104404-3-0004,M,WC,Water Consumption,29,g/day,8,15,Y,,CG
T104404-3,T104404-3-0003,M,WC,Water Consumption,29,g/day,15,22,Y,,CG
T104404-3,T104404-3-0004,M,WC,Water Consumption,29,g/day,15,22,Y,,CG
T104404-3,T104404-3-0003,M,WC,Water Consumption,28,g/day,22,29,Y,,CG
T104404-3,T104404-3-0004,M,WC,Water Consumption,28,g/day,22,29,Y,,CG
T104404-3,T104404-3-0003,M,FC,Food Consumption,22,g/day,1,8,Y,,CG
T104404-3,T104404-3-0004,M,FC,Food Consumption,22,g/day,1,8,Y,,CG
T104404-3,T104404-3-0003,M,FC,Food Consumption,23,g/day,8,15,Y,,CG
T104404-3,T104404-3-0004,M,FC,Food Consumption,23,g/day,8,15,Y,,CG
T104404-3,T104404-3-0003,M,FC,Food Consumption,22,g/day,15,22,Y,,CG
T104404-3,T104404-3-0004,M,FC,Food Consumption,22,g/day,15,22,Y,,CG
T104404-3,T104404-3-0003,M,FC,Food Consumption,22,g/day,22,29,Y,,CG
T104404-3,T104404-3-0004,M,FC,Food Consumption,22,g/day,22,29,Y,,CG
T103116-2,T103116-2-0009,M,FC,Food Consumption,23.4,g/day,1,8,Y,,CG
T103116-2,T103116-2-0010,M,FC,Food Consumption,23.4,g/day,1,8,Y,,CG
T103116-2,T103116-2-0009,M,FC,Food Consumption,23.7,g/day,8,15,Y,,CG
T103116-2,T103116-2-0010,M,FC,Food Consumption,23.7,g/day,8,15,Y,,CG
T103116-2,T103116-2-0009,M,FC,Food Consumption,24.8,g/day,15,21,Y,,CG
T103116-2,T103116-2-0010,M,FC,Food Consumption,24.8,g/day,15,21,Y,,CG
T103116-2,T103116-2-0009,M,FC,Food Consumption,21.9,g/day,22,28,Y,,CG
T103116-2,T103116-2-0010,M,FC,Food Consumption,21.9,g/day,22,28,Y,,CG
T103116-2,T103116-2-0009,M,WC,Water Consumption,33.1,g/day,1,8,Y,,CG
T103116-2,T103116-2-0010,M,WC,Water Consumption,33.1,g/day,1,8,Y,,CG
T103116-2,T103116-2-0009,M,WC,Water Consumption,32.2,g/day,8,15,Y,,CG
T103116-2,T103116-2-0010,M,WC,Water Consumption,32.2,g/day,8,15,Y,,CG
T103116-2,T103116-2-0009,M,WC,Water Consumption,35.3,g/day,15,21,Y,,CG
T103116-2,T103116-2-0010,M,WC,Water Consumption,35.3,g/day,15,21,Y,,CG
T103116-2,T103116-2-0009,M,WC,Water Consumption,31.3,g/day,22,28,Y,,CG
T103116-2,T103116-2-0010,M,WC,Water Consumption,31.3,g/day,22,28,Y,,CG
T103141-0,T103141-0-0075,F,WC,Water Consumption,25,g/day,1,8,Y,,CG
T103141-0,T103141-0-0074,F,WC,Water Consumption,25,g/day,1,8,Y,,CG
T103141-0,T103141-0-0076,F,WC,Water Consumption,25,g/day,1,8,Y,,CG
T103141-0,T103141-0-0075,F,WC,Water Consumption,28,g/day,8,15,Y,,CG
T103141-0,T103141-0-0074,F,WC,Water Consumption,28,g/day,8,15,Y,,CG
T103141-0,T103141-0-0076,F,WC,Water Consumption,28,g/day,8,15,Y,,CG
T103141-0,T103141-0-0075,F,WC,Water Consumption,29,g/day,15,22,Y,,CG
T103141-0,T103141-0-0074,F,WC,Water Consumption,29,g/day,15,22,Y,,CG
T103141-0,T103141-0-0076,F,WC,Water Consumption,29,g/day,15,22,Y,,CG
T103141-0,T103141-0-0075,F,WC,Water Consumption,28,g/day,22,29,Y,,CG
T103141-0,T103141-0-0074,F,WC,Water Consumption,28,g/day,22,29,Y,,CG
T103141-0,T103141-0-0076,F,WC,Water Consumption,28,g/day,22,29,Y,,CG
T103141-0,T103141-0-0075,F,FC,Food Consumption,16,g/day,1,8,Y,,CG
T103141-0,T103141-0-0074,F,FC,Food Consumption,16,g/day,1,8,Y,,CG
T103141-0,T103141-0-0076,F,FC,Food Consumption,16,g/day,1,8,Y,,CG
T103141-0,T103141-0-0075,F,FC,Food Consumption,17,g/day,8,15,Y,,CG
T103141-0,T103141-0-0074,F,FC,Food Consumption,17,g/day,8,15,Y,,CG
T103141-0,T103141-0-0076,F,FC,Food Consumption,17,g/day,8,15,Y,,CG
T103141-0,T103141-0-0075,F,FC,Food Consumption,19,g/day,15,22,Y,,CG
T103141-0,T103141-0-0074,F,FC,Food Consumption,19,g/day,15,22,Y,,CG
T103141-0,T103141-0-0076,F,FC,Food Consumption,19,g/day,15,22,Y,,CG
T103141-0,T103141-0-0075,F,FC,Food Consumption,16,g/day,22,29,Y,,CG
T103141-0,T103141-0-0074,F,FC,Food Consumption,16,g/day,22,29,Y,,CG
T103141-0,T103141-0-0076,F,FC,Food Consumption,16,g/day,22,29,Y,,CG
T104623-6,T104623-6-0004,M,WC,Water Consumption,29,g/day,1,8,Y,,CG
T104623-6,T104623-6-0003,M,WC,Water Consumption,29,g/day,1,8,Y,,CG
T104623-6,T104623-6-0004,M,WC,Water Consumption,31,g/day,8,15,Y,,CG
T104623-6,T104623-6-0003,M,WC,Water Consumption,31,g/day,8,15,Y,,CG
T104623-6,T104623-6-0004,M,WC,Water Consumption,31,g/day,15,22,Y,,CG
T104623-6,T104623-6-0003,M,WC,Water Consumption,31,g/day,15,22,Y,,CG
