SPREFID,USUBJID,LBTEST,LBTESTCD,LBCAT,LBORRES,LBORRESU,LBMETHOD,LBSPEC,LBDY,trial_set_description,SEX
T104623-6,T104623-6-0042,Chloride,CL,CLINICAL CHEMISTRY,103,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0044,Chloride,CL,CLINICAL CHEMISTRY,103,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0049,Chloride,CL,CLINICAL CHEMISTRY,106,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0047,Chloride,CL,CLINICAL CHEMISTRY,102,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0048,Chloride,CL,CLINICAL CHEMISTRY,105,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0045,Chloride,CL,CLINICAL CHEMISTRY,102,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0046,Chloride,CL,CLINICAL CHEMISTRY,105,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0043,Chloride,CL,CLINICAL CHEMISTRY,102,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0050,Chloride,CL,CLINICAL CHEMISTRY,102,mmol/l,iBroker:CL-ISE,SERUM,34,CG,F
T104623-6,T104623-6-0049,Protein,PROT,URINALYSIS,0.7,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0047,Protein,PROT,URINALYSIS,0.8,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0048,Protein,PROT,URINALYSIS,0.7,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0045,Protein,PROT,URINALYSIS,1.1,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0046,Protein,PROT,URINALYSIS,0.7,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0043,Protein,PROT,URINALYSIS,1.5,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0050,Protein,PROT,URINALYSIS,0.8,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0042,Protein,PROT,URINALYSIS,0.7,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0044,Protein,PROT,URINALYSIS,1,mg,iBroker:PROT*UVOL,URINE,24,CG,F
T104623-6,T104623-6-0006,Protein/Creatinine,PROTCRT,URINALYSIS,99,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0003,Protein/Creatinine,PROTCRT,URINALYSIS,198,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0001,Protein/Creatinine,PROTCRT,URINALYSIS,89,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0002,Protein/Creatinine,PROTCRT,URINALYSIS,210,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0005,Protein/Creatinine,PROTCRT,URINALYSIS,204,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0004,Protein/Creatinine,PROTCRT,URINALYSIS,120,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0007,Protein/Creatinine,PROTCRT,URINALYSIS,119,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0009,Protein/Creatinine,PROTCRT,URINALYSIS,147,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0010,Protein/Creatinine,PROTCRT,URINALYSIS,138,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0008,Protein/Creatinine,PROTCRT,URINALYSIS,112,mg/mmol,iBroker:Prot/Crea,URINE,23,CG,M
T104623-6,T104623-6-0006,Leukocytes,WBC,HEMATOLOGY,8.64,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0003,Leukocytes,WBC,HEMATOLOGY,6.46,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0001,Leukocytes,WBC,HEMATOLOGY,10.44,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0002,Leukocytes,WBC,HEMATOLOGY,10.17,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0005,Leukocytes,WBC,HEMATOLOGY,7.28,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0004,Leukocytes,WBC,HEMATOLOGY,6.99,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0007,Leukocytes,WBC,HEMATOLOGY,6.4,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0009,Leukocytes,WBC,HEMATOLOGY,8.69,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0010,Leukocytes,WBC,HEMATOLOGY,6.69,G/l,iBroker:LEUCO,PLASMA,31,CG,M
T104623-6,T104623-6-0042,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0044,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0049,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0047,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0048,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0045,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0046,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0043,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0050,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,34,CG,F
T104623-6,T104623-6-0006,Creatinine,CREAT,URINALYSIS,43,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0003,Creatinine,CREAT,URINALYSIS,48,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0001,Creatinine,CREAT,URINALYSIS,36,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0002,Creatinine,CREAT,URINALYSIS,43,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0005,Creatinine,CREAT,URINALYSIS,44,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0004,Creatinine,CREAT,URINALYSIS,36,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0007,Creatinine,CREAT,URINALYSIS,31,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0009,Creatinine,CREAT,URINALYSIS,51,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0010,Creatinine,CREAT,URINALYSIS,37,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0008,Creatinine,CREAT,URINALYSIS,31,µmol,iBroker:CRE*UVOL,URINE,23,CG,M
T104623-6,T104623-6-0006,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.5,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0003,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.4,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0001,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.3,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0002,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.4,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0005,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.2,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0004,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.1,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0007,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.5,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0009,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.7,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0010,Gamma Glutamyl Transferase,GGT,CLINICAL CHEMISTRY,0.2,U/l,iBroker:gamma-GT,SERUM,31,CG,M
T104623-6,T104623-6-0004,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,332,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0007,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,338,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0009,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,323,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0010,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,330,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0006,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,333,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0003,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,324,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0001,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,319,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0002,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,326,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0005,Ery. Mean Corpuscular HGB Concentration,MCHC,HEMATOLOGY,335,g/l Ery,iBroker:MCHC,PLASMA,31,CG,M
T104623-6,T104623-6-0049,Bilirubin,BILI,CLINICAL CHEMISTRY,0.8,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0047,Bilirubin,BILI,CLINICAL CHEMISTRY,0.4,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0048,Bilirubin,BILI,CLINICAL CHEMISTRY,0.3,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0045,Bilirubin,BILI,CLINICAL CHEMISTRY,0.6,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0046,Bilirubin,BILI,CLINICAL CHEMISTRY,0.9,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0043,Bilirubin,BILI,CLINICAL CHEMISTRY,0.4,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
T104623-6,T104623-6-0050,Bilirubin,BILI,CLINICAL CHEMISTRY,0.5,µmol/l,iBroker:Bili-t,SERUM,34,CG,F
