SPREFID,USUBJID,MASPEC,MASEVN,MASEV,MAORRES,MALAT,MASTAT,MAREASND,MADY,MADTC,MATEST,MATESTCD,finding_is_unremarkable_or_incomplete,SEX,trial_set_description
T103925-0,T103925-0-0082,WHOLE ANIMAL,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0085,WHOLE ANIMAL,,"",UNREMARKABLE,,,,57,2018-08-09 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,OVIDUCT,,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"LARGE INTESTINE, CECUM",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,LIVER,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"LYMPH NODE, ILIAC",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"NERVE, SCIATIC",,"",UNREMARKABLE,RIGHT,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,BRAIN,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,NOSE,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,URETHRA,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"BONE, FEMUR",,"",UNREMARKABLE,UNILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,SKIN/SUBCUTIS,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,SPLEEN,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,WHOLE ANIMAL,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, PARATHYROID",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,URETER,,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,EYELID,,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,KIDNEY,,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"MUSCLE, SKELETAL",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,SMALL INTESTINE,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,SPINAL CORD,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"LYMPH NODE, MANDIBULAR",,"",discoloration red,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,0,F,CG
T103925-0,T103925-0-0081,VAGINA,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, THYROID",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,PEYER'S PATCH,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,THYMUS,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,TONGUE,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,LUNG,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"LYMPH NODE, MESENTERIC",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"BONE, STERNUM",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, SALIVARY, PAROTID",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, LACRIMAL",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, MAMMARY",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"SMALL INTESTINE, ILEUM",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,URINARY BLADDER,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"LARGE INTESTINE, COLON",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,STOMACH,,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"BONE MARROW, FEMUR",,"",UNREMARKABLE,UNILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,EYE,,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"GLAND, SALIVARY",,"",UNREMARKABLE,BILATERAL,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
T103925-0,T103925-0-0081,"ARTERY, AORTA",,"",UNREMARKABLE,,,,32,2018-07-13 00:00:00.000,Gross Pathological Examination,GROSPATH,1,F,CG
