SPREFID,USUBJID,SEX,MISPEC,MISEVTXT,MISEV,MIORRES,MIRESCAT,MIDY,trial_set_description
T103239-8,T103239-8-0015,M,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,TRACHEA,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,ESOPHAGUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,PEYER'S PATCH,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"GLAND, THYROID","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,SPLEEN,MINIMAL,1,EXTRAMEDULLARY HEMATOPOIESIS,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0015,M,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,THYMUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"BONE MARROW, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"GLAND, PARATHYROID","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"GLAND, PITUITARY","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,STOMACH,MINIMAL,1,CYST,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0015,M,"BONE, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,PANCREAS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"BONE MARROW, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,LIVER,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,WHOLE ANIMAL,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"GLAND, ADRENAL","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0015,M,"BONE, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"SMALL INTESTINE, JEJUNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,THYMUS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"LARGE INTESTINE, COLON","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"LARGE INTESTINE, RECTUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,STOMACH,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"GLAND, PARATHYROID","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,PANCREAS,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"BONE, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"BONE, FEMUR","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"LARGE INTESTINE, CECUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"BONE MARROW, STERNUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,LIVER,MINIMAL,1,ACCUMULATION,NON-NEOPLASTIC,58,CG
T103239-8,T103239-8-0087,F,"GLAND, PITUITARY","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"SMALL INTESTINE, ILEUM","",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,LIVER,"",,UNREMARKABLE,,58,CG
T103239-8,T103239-8-0087,F,"SMALL INTESTINE, DUODENUM","",,UNREMARKABLE,,58,CG
