LBTEST,LBTESTCD,LBSPEC
Thyroxine,T4,SERUM
Calcium Oxalate Crystals,CYCAOXA,URINE
Ery. Mean Corpuscular Hemoglobin,MCH,PLASMA
Creatinine Excretion Rate,CREATEXR,URINE
Epithelial Casts,CSEPI,URINE
Urobilinogen,UROBIL,URINE
Bacteria,BACT,URINE
Neutrophils,NEUT,PLASMA
Others4,OTHERS4,URINE
Creatinine,CREAT,URINE
Uric Acid Crystals,CYURIAC,URINE
Cholesterol,CHOL,SERUM
Erythrocytes,RBC,WHOLE BLOOD
Cholesterol,CHOL,Serum Cat
Creatine Kinase,CK,Serum Cat
Platelets,PLAT,WHOLE BLOOD
Erythrocytes Distribution Width,RDW,WHOLE BLOOD
Potassium,K,PLASMA
Phosphate,PHOS,WHOLE BLOOD
Triiodothyronine,T3,WHOLE BLOOD
HDL-Cholesterol,HDL,SERUM
Urea,UREA,Serum Rabbit
Phosphate,PHOS,Serum Rabbit
Albumin,ALB,Serum Rabbit
N-DEM,LB-NDE,LIVER
P450,LB-CYT,LIVER
HYPOCHR-M,HYPOCR-M,Blood smears
Spherocytes,SPHERO,Blood smears
Howell-Jolly Bodies,JOLLY-K.,Blood smears
Myeloblasts,MYBLA,Blood smears
Promyelocytes,PROMY,Blood smears
Potassium,K,URINE
K-B,B-K,URINE
Unclassified Crystals,CYUNCLA,URINE
LyTyp10,LYTYP10,WHOLE BLOOD
LyTyp22,LYTYP22,WHOLE BLOOD
LyTyp28,LYTYP28,WHOLE BLOOD
LyTyp31,LYTYP31,WHOLE BLOOD
Neutrophil granulo immature,BM04,Neutrophil granulo immature
Basophil granulo mature,BM10,Basophil granulo mature
C Reactive Protein,CRP,SERUM
Platelets,PLAT,PLASMA
Glycocholic Acid,GCHT,PLASMA
Glycochenodeoxycholic acid,GCDCA,PLASMA
tauromuricholic acid-alpha&beta sum,TMCA,PLASMA
Taurocholic acid,TCA,PLASMA
Testosteron,TEST,Plasma EDTA
VOL per kg,U-KVOL,URINE
CREA*KVOL,U-CREKVO,URINE
pH-Electr-b,BPH-E,URINE
CrossLaps,CTX-1,Plasma EDTA
ImFun01,IMFUN01,WHOLE BLOOD
ImFun28,IMFUN28,WHOLE BLOOD
ImFun24,IMFUN24,WHOLE BLOOD
b conjugated bilirubin,BCBIL,SERUM
NAG/CREA,U-NAG/CR,URINE
Bilirubin,BILI,PLASMA
"Lymphocytes Atypical, Reactive",ATYP,PLASMA
Basophils,BASO,PLASMA
Lymphocytes/Leukocytes,LYMLE,WHOLE BLOOD
Neutrophils/Leukocytes,NEUTLE,WHOLE BLOOD
Lymphocytes,LYM,WHOLE BLOOD
Leukocytes,WBC,WHOLE BLOOD
Urea,UREA,SERUM
Nucl Shad,SMDGCE,PLASMA
Total Plasma Cells,PLSTCE,PLASMA
Metamyelocytes,METAMY,PLASMA
Glutamate Dehydrogenase,GLDH,Serum Cat
ALD,ALD,Liver Bio Chemie
Glucose,GLUC,PLASMA
Albumin/Globulin,ALBGLOB,PLASMA
Lipase,LIPASE,SERUM
7-Ethoxyresorufin deethylase,EROD,LIVER
Globulin,GLOBUL,PLASMA
Amorphous Phosphate Crystals,CYAMPPH,URINE
Glucose,GLUC,WHOLE BLOOD
Thyroxine,T4,WHOLE BLOOD
LyTyp08,LYTYP08,WHOLE BLOOD
LyTyp24,LYTYP24,WHOLE BLOOD
LyTyp25,LYTYP25,WHOLE BLOOD
LyTyp30,LYTYP30,WHOLE BLOOD
Granulopoiesis,BM20,Granulopoiesis
INSU-Ratte,INSU-RA,PLASMA
UDP-Glucuronyltransferase,UGT,UDP-Glucuronyltransferase
Heinz-B.,HIK,PLASMA
Bili-c,BILIC-TI,SERUM
Blasts,BLAST,WHOLE BLOOD
Type I Collagen C-Telopeptides,CTXI,SERUM
Muricholic acid-omega,MCAO,PLASMA
Chloride,CL,Serum Mouse
Troponin I,TROPONI,SERUM
Nucleated Erythrocytes,RBCNUC,WHOLE BLOOD
ImFun22,IMFUN22,WHOLE BLOOD
b urinary protein quantitative,BUPROTQ,URINE
b UGLUCQ corrected for CREA,BUGLUCQC,URINE
Corticosterone (µg/l),CCS,Plasma EDTA
Lipase,LIPASE,Research
Calcium,CA,SERUM
Microcytes,MICROCY,PLASMA
Thrombocytes,THROMNUC,PLASMA
Urothelial Cells,UROTHCE,URINE
Glutamate Dehydrogenase,GLDH,SERUM
Chloride,CL,SERUM
Lactate Dehydrogenase,LDH,SERUM
Albumin,ALB,SERUM
Monocytes/Leukocytes,MONOLE,WHOLE BLOOD
Large Unstained Cells/Leukocytes,LGLUCLE,WHOLE BLOOD
Ery. Mean Corpuscular HGB Concentration,MCHC,WHOLE BLOOD
Gamma Glutamyl Transferase,GGT,Serum Cat
Globulin,GLOBUL,SERUM
"Glutathione S-Transferase, Total",GST,Liver Bio Chemie
Calcium Phosphate Crystals,CYCAPHOS,URINE
"Protein, dipstick urine",UPROT,URINE
Calcium,CA,URINE
Protein,PROT,WHOLE BLOOD
Lactate Dehydrogenase,LDH,Serum Rabbit
ATYP-LY,ATYP-LY,Blood smears
Kurloff Cells,KURLOFCE,Blood smears
Toxic Granulation,TOXGRAN,Blood smears
Sodium,SODIUM,URINE
Cl-B,B-CL,URINE
Unclassified Casts,CSUNCLA,URINE
HDL-RD,HDL-RD,SERUM
LyTyp33,LYTYP33,WHOLE BLOOD
Blast cells,BM01,Blast cells
BLEU-STIX,BLEU,URINE
Cholic acid,COAC,PLASMA
Muricholic acid-alpha,MCAA,PLASMA
Hyodeoxycholic acid,HDCA,PLASMA
Estradiol,EST-2,Plasma EDTA
HDL-RD,HDL-RD,Research
