SPREFID,USUBJID,CLLOC,STUDY_WEEK,CLORRES,CLRESCAT,CLSTAT,CLREASND,CLCAT,CLSEV,CLRFTDTC,CLTPTNUM,CLDY,SEX,trial_set_description
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-30T07:04:00Z,1,15,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-30T09:32:00Z,2,15,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-05-01T08:36:00Z,1,16,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-05-01T10:39:00Z,2,16,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-05-02T09:32:00Z,1,17,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-05-02T11:30:00Z,2,17,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Open Field Observation,"",2019-05-02T09:32:00Z,3,17,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-29T06:49:00Z,1,14,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-29T08:34:00Z,2,14,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-27T07:04:00Z,1,12,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-27T09:09:00Z,2,12,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-26T07:32:00Z,1,11,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-26T10:04:00Z,2,11,F,CG
HCD-12,HCD-12-0083,"",,NORMAL,CLINICAL SIGNS,"",,Detailed Clinical Observation,"",2019-04-28T07:07:00Z,1,13,F,CG
