SPREFID,USUBJID,SEX,FWTESTCD,FWTEST,FWORRES,FWORRESU,FWDY,FWENDY,FWSTAT,FWREASND,trial_set_description
HCD-14,HCD-14-0002,M,WC,Water Consumption,28,g/day,1,8,Y,,CG
HCD-14,HCD-14-0001,M,WC,Water Consumption,28,g/day,1,8,Y,,CG
HCD-14,HCD-14-0002,M,WC,Water Consumption,30,g/day,8,15,Y,,CG
HCD-14,HCD-14-0001,M,WC,Water Consumption,30,g/day,8,15,Y,,CG
HCD-14,HCD-14-0002,M,WC,Water Consumption,28,g/day,15,22,Y,,CG
HCD-14,HCD-14-0001,M,WC,Water Consumption,28,g/day,15,22,Y,,CG
HCD-14,HCD-14-0002,M,WC,Water Consumption,33,g/day,22,29,Y,,CG
HCD-14,HCD-14-0001,M,WC,Water Consumption,33,g/day,22,29,Y,,CG
HCD-14,HCD-14-0002,M,FC,Food Consumption,21,g/day,1,8,Y,,CG
HCD-14,HCD-14-0001,M,FC,Food Consumption,21,g/day,1,8,Y,,CG
HCD-14,HCD-14-0002,M,FC,Food Consumption,22,g/day,8,15,Y,,CG
HCD-14,HCD-14-0001,M,FC,Food Consumption,22,g/day,8,15,Y,,CG
HCD-14,HCD-14-0002,M,FC,Food Consumption,21,g/day,15,22,Y,,CG
HCD-14,HCD-14-0001,M,FC,Food Consumption,21,g/day,15,22,Y,,CG
HCD-14,HCD-14-0002,M,FC,Food Consumption,23,g/day,22,29,Y,,CG
HCD-14,HCD-14-0001,M,FC,Food Consumption,23,g/day,22,29,Y,,CG
HCD-11,HCD-11-0003,M,WC,Water Consumption,27,g/day,1,8,Y,,CG
HCD-11,HCD-11-0004,M,WC,Water Consumption,27,g/day,1,8,Y,,CG
HCD-11,HCD-11-0003,M,WC,Water Consumption,29,g/day,8,15,Y,,CG
HCD-11,HCD-11-0004,M,WC,Water Consumption,29,g/day,8,15,Y,,CG
HCD-11,HCD-11-0003,M,WC,Water Consumption,29,g/day,15,22,Y,,CG
HCD-11,HCD-11-0004,M,WC,Water Consumption,29,g/day,15,22,Y,,CG
HCD-11,HCD-11-0003,M,WC,Water Consumption,28,g/day,22,29,Y,,CG
HCD-11,HCD-11-0004,M,WC,Water Consumption,28,g/day,22,29,Y,,CG
HCD-11,HCD-11-0003,M,FC,Food Consumption,22,g/day,1,8,Y,,CG
HCD-11,HCD-11-0004,M,FC,Food Consumption,22,g/day,1,8,Y,,CG
HCD-11,HCD-11-0003,M,FC,Food Consumption,23,g/day,8,15,Y,,CG
HCD-11,HCD-11-0004,M,FC,Food Consumption,23,g/day,8,15,Y,,CG
HCD-11,HCD-11-0003,M,FC,Food Consumption,22,g/day,15,22,Y,,CG
HCD-11,HCD-11-0004,M,FC,Food Consumption,22,g/day,15,22,Y,,CG
HCD-11,HCD-11-0003,M,FC,Food Consumption,22,g/day,22,29,Y,,CG
HCD-11,HCD-11-0004,M,FC,Food Consumption,22,g/day,22,29,Y,,CG
HCD-01,HCD-01-0009,M,FC,Food Consumption,23.4,g/day,1,8,Y,,CG
HCD-01,HCD-01-0010,M,FC,Food Consumption,23.4,g/day,1,8,Y,,CG
HCD-01,HCD-01-0009,M,FC,Food Consumption,23.7,g/day,8,15,Y,,CG
HCD-01,HCD-01-0010,M,FC,Food Consumption,23.7,g/day,8,15,Y,,CG
HCD-01,HCD-01-0009,M,FC,Food Consumption,24.8,g/day,15,21,Y,,CG
HCD-01,HCD-01-0010,M,FC,Food Consumption,24.8,g/day,15,21,Y,,CG
HCD-01,HCD-01-0009,M,FC,Food Consumption,21.9,g/day,22,28,Y,,CG
HCD-01,HCD-01-0010,M,FC,Food Consumption,21.9,g/day,22,28,Y,,CG
