SPREFID,USUBJID,MASPEC,MASEVN,MASEV,MAORRES,MALAT,MASTAT,MAREASND,MADY,MADTC,MATEST,MATESTCD,finding_is_unremarkable_or_incomplete,SEX,trial_set_description
HCD-10,HCD-10-0082,WHOLE ANIMAL,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0085,WHOLE ANIMAL,,,UNREMARKABLE,"",,,57,2018-08-09T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,OVIDUCT,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LARGE INTESTINE, CECUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,LIVER,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LYMPH NODE, ILIAC",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"NERVE, SCIATIC",,,UNREMARKABLE,RIGHT,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,BRAIN,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,NOSE,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,URETHRA,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"BONE, FEMUR",,,UNREMARKABLE,UNILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,SKIN/SUBCUTIS,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,SPLEEN,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,WHOLE ANIMAL,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, PARATHYROID",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,URETER,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,EYELID,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,KIDNEY,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"MUSCLE, SKELETAL",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,SMALL INTESTINE,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,SPINAL CORD,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LYMPH NODE, MANDIBULAR",,,discoloration red,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,0,F,CG
HCD-10,HCD-10-0081,VAGINA,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, THYROID",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,PEYER'S PATCH,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,THYMUS,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,TONGUE,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,LUNG,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LYMPH NODE, MESENTERIC",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"BONE, STERNUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, SALIVARY, PAROTID",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, LACRIMAL",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, MAMMARY",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"SMALL INTESTINE, ILEUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,URINARY BLADDER,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LARGE INTESTINE, COLON",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,STOMACH,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"BONE MARROW, FEMUR",,,UNREMARKABLE,UNILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,EYE,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, SALIVARY",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"ARTERY, AORTA",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,ESOPHAGUS,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, ADRENAL",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,PANCREAS,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,TRACHEA,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, ZYMBAL",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,HEAD,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,LARYNX,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"SMALL INTESTINE, DUODENUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,LARGE INTESTINE,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,HEART,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,OVARY,,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, PITUITARY",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,PHARYNX,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,TONSIL,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,UTERUS,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"BONE MARROW, STERNUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"GLAND, HARDERIAN",,,UNREMARKABLE,BILATERAL,,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"LARGE INTESTINE, RECTUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0081,"SMALL INTESTINE, JEJUNUM",,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0084,WHOLE ANIMAL,,,UNREMARKABLE,"",,,57,2018-08-09T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0083,WHOLE ANIMAL,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0010,WHOLE ANIMAL,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0086,WHOLE ANIMAL,,,UNREMARKABLE,"",,,57,2018-08-09T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0013,WHOLE ANIMAL,,,UNREMARKABLE,"",,,57,2018-08-09T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0003,WHOLE ANIMAL,,,UNREMARKABLE,"",,,30,2018-07-11T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0012,WHOLE ANIMAL,,,UNREMARKABLE,"",,,57,2018-08-09T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0006,WHOLE ANIMAL,,,UNREMARKABLE,"",,,30,2018-07-11T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0004,WHOLE ANIMAL,,,UNREMARKABLE,"",,,30,2018-07-11T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0077,WHOLE ANIMAL,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0079,WHOLE ANIMAL,,,UNREMARKABLE,"",,,32,2018-07-13T00:00:00Z,Gross Pathological Examination,GROSPATH,1,F,CG
HCD-10,HCD-10-0008,HEAD,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0008,PANCREAS,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0008,TONSIL,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
HCD-10,HCD-10-0008,BRAIN,,,UNREMARKABLE,"",,,31,2018-07-12T00:00:00Z,Gross Pathological Examination,GROSPATH,1,M,CG
