SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX,trial_set_description
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.18757,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,THYMUS,0.522,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19799,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,SPLEEN,0.551,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.01365,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.038,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.28387,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",0.79,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.19081,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,"GLAND, PROSTATE",0.531,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.36365,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,EPIDIDYMIS,1.012,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.1355,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,TESTIS,3.16,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.64932,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,KIDNEY,1.807,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7734,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,LIVER,10.501,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,HEART,0.30795,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,HEART,0.857,g,29,M,CG
HCD-05,HCD-05-0006,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.73268,%,29,M,CG
HCD-05,HCD-05-0006,,,,WEIGHT,Weight,BRAIN,2.039,g,29,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.17169,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,THYMUS,0.631,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18339,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,SPLEEN,0.674,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.02177,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.08,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,"GLAND, SEMINAL VESICLE",0.32134,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,"GLAND, SEMINAL VESICLE",1.181,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,"GLAND, PROSTATE",0.37957,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,"GLAND, PROSTATE",1.395,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIS,0.44161,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,EPIDIDYMIS,1.623,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,TESTIS,1.0067,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,TESTIS,3.7,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,KIDNEY,0.71479,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,KIDNEY,2.627,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.6561,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,LIVER,13.437,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,HEART,0.27645,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,HEART,1.016,g,58,M,CG
HCD-05,HCD-05-0016,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.50718,%,58,M,CG
HCD-05,HCD-05-0016,,,,WEIGHT,Weight,BRAIN,1.864,g,58,M,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.17237,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,THYMUS,0.34,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18606,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,SPLEEN,0.367,g,30,F,CG
HCD-05,HCD-05-0082,,,,OWBW,Organ to Body Weight Ratio,"GLAND, ADRENAL",0.03701,%,30,F,CG
HCD-05,HCD-05-0082,,,,WEIGHT,Weight,"GLAND, ADRENAL",0.073,g,30,F,CG
